,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,0.0,49157.0,28556.0,21129.0,22397.0,34326.0,9902.0,13072.0,4896.0,5340.0,6057.0,4897.0,4512.0,4171.0,3160.0,3277.0,1292.0,2013.0,2329.0,1992.0,2028.0,1703.0,2120.0,1853.0,1321.0,1963.0,1507.0,1674.0,221.0,464.0,1887.0,1215.0,1251.0,663.0,1057.0,949.0,1288.0,1314.0,1024.0,1181.0,985.0,947.0,1331.0,1254.0,887.0,1000.0,850.0,978.0,945.0,890.0,736.0,928.0,14.0,592.0,842.0,858.0,691.0,792.0,132.0,471.0,595.0,259.0,554.0,765.0,698.0,483.0,162.0,581.0,323.0,497.0,559.0,379.0,609.0,497.0,351.0,228.0,438.0,522.0,564.0,398.0,293.0,318.0,424.0,593.0,445.0,154.0,471.0,439.0,82.0,441.0,500.0,253.0,299.0,369.0,171.0,3.0,116.0,412.0,305.0,279.0,275.0,326.0,296.0,342.0,331.0,293.0,341.0,173.0,295.0,414.0,338.0,121.0,438.0,232.0,408.0,323.0,354.0,321.0,238.0,271.0,174.0,148.0,268.0,15.0,295.0,388.0,177.0,383.0,381.0,266.0,253.0,139.0,185.0,253.0,138.0,67.0,220.0,186.0,175.0,226.0,107.0,217.0,228.0,269.0,277.0,222.0,152.0,260.0,223.0,190.0
1,49157.0,0.0,11313.0,16785.0,18325.0,12571.0,8779.0,5209.0,1347.0,1388.0,164.0,3033.0,1587.0,1781.0,2409.0,266.0,1210.0,1329.0,984.0,1475.0,603.0,957.0,370.0,1236.0,939.0,744.0,881.0,640.0,547.0,1531.0,524.0,1228.0,844.0,542.0,598.0,716.0,491.0,62.0,619.0,717.0,734.0,590.0,1276.0,572.0,544.0,569.0,544.0,358.0,503.0,481.0,459.0,351.0,715.0,631.0,575.0,331.0,456.0,191.0,474.0,332.0,263.0,241.0,362.0,228.0,142.0,223.0,195.0,214.0,254.0,222.0,151.0,307.0,476.0,2.0,302.0,155.0,470.0,103.0,172.0,251.0,260.0,300.0,141.0,367.0,350.0,226.0,224.0,399.0,210.0,110.0,45.0,212.0,219.0,320.0,51.0,281.0,54.0,88.0,180.0,131.0,281.0,32.0,150.0,126.0,76.0,201.0,30.0,169.0,121.0,343.0,6.0,78.0,370.0,33.0,10.0,111.0,90.0,280.0,16.0,143.0,219.0,96.0,163.0,12.0,57.0,8.0,65.0,0.0,0.0,208.0,29.0,128.0,145.0,153.0,92.0,25.0,120.0,102.0,140.0,197.0,51.0,89.0,129.0,120.0,88.0,122.0,132.0,177.0,152.0,94.0
2,28556.0,11313.0,0.0,7982.0,13286.0,12647.0,10166.0,6846.0,1113.0,2306.0,1575.0,1194.0,179.0,771.0,1004.0,17.0,1675.0,15.0,708.0,140.0,502.0,1285.0,342.0,1605.0,807.0,415.0,387.0,236.0,364.0,187.0,117.0,420.0,301.0,665.0,613.0,351.0,534.0,18.0,577.0,104.0,85.0,322.0,0.0,114.0,454.0,234.0,44.0,134.0,217.0,368.0,365.0,180.0,652.0,252.0,20.0,386.0,338.0,37.0,295.0,386.0,406.0,385.0,339.0,186.0,12.0,198.0,354.0,166.0,418.0,451.0,48.0,256.0,91.0,1.0,206.0,344.0,209.0,175.0,93.0,82.0,158.0,104.0,53.0,6.0,120.0,166.0,71.0,23.0,274.0,24.0,48.0,130.0,185.0,192.0,340.0,17.0,277.0,313.0,125.0,76.0,208.0,17.0,114.0,63.0,110.0,13.0,117.0,217.0,89.0,10.0,185.0,185.0,7.0,3.0,1.0,111.0,47.0,40.0,4.0,20.0,79.0,170.0,73.0,11.0,52.0,4.0,0.0,0.0,0.0,27.0,11.0,90.0,46.0,51.0,163.0,175.0,58.0,106.0,96.0,14.0,177.0,33.0,29.0,76.0,142.0,149.0,71.0,12.0,10.0,48.0
3,21129.0,16785.0,7982.0,0.0,15660.0,6435.0,6559.0,6498.0,508.0,2309.0,2441.0,1055.0,204.0,1102.0,1608.0,18.0,1504.0,12.0,1197.0,166.0,705.0,1330.0,532.0,1202.0,989.0,658.0,490.0,150.0,293.0,1683.0,202.0,493.0,191.0,481.0,676.0,396.0,393.0,17.0,411.0,125.0,234.0,376.0,0.0,307.0,545.0,284.0,63.0,61.0,360.0,359.0,307.0,139.0,457.0,263.0,12.0,322.0,234.0,77.0,262.0,359.0,281.0,323.0,221.0,159.0,11.0,461.0,285.0,59.0,342.0,357.0,29.0,254.0,100.0,0.0,272.0,340.0,196.0,476.0,142.0,23.0,153.0,236.0,38.0,116.0,245.0,225.0,46.0,18.0,179.0,14.0,434.0,113.0,133.0,429.0,312.0,299.0,173.0,324.0,69.0,86.0,121.0,12.0,170.0,41.0,18.0,121.0,111.0,178.0,52.0,17.0,204.0,201.0,376.0,4.0,1.0,164.0,131.0,33.0,5.0,32.0,59.0,144.0,80.0,361.0,54.0,383.0,6.0,383.0,381.0,26.0,17.0,62.0,146.0,55.0,73.0,153.0,68.0,71.0,30.0,14.0,93.0,48.0,18.0,46.0,30.0,148.0,94.0,54.0,133.0,140.0
4,22397.0,18325.0,13286.0,15660.0,0.0,4938.0,4687.0,6815.0,500.0,1880.0,1804.0,1087.0,153.0,994.0,927.0,46.0,1237.0,19.0,628.0,383.0,363.0,1058.0,716.0,825.0,1156.0,438.0,392.0,292.0,488.0,1105.0,236.0,380.0,440.0,751.0,733.0,706.0,297.0,286.0,723.0,309.0,408.0,596.0,0.0,331.0,315.0,181.0,136.0,56.0,615.0,465.0,332.0,241.0,280.0,259.0,35.0,221.0,244.0,54.0,202.0,492.0,350.0,571.0,367.0,140.0,147.0,138.0,446.0,134.0,387.0,257.0,38.0,320.0,71.0,14.0,425.0,543.0,353.0,103.0,87.0,53.0,219.0,210.0,121.0,2.0,230.0,230.0,49.0,17.0,145.0,33.0,49.0,156.0,111.0,128.0,58.0,170.0,331.0,87.0,111.0,77.0,141.0,100.0,143.0,51.0,22.0,110.0,104.0,122.0,184.0,18.0,88.0,325.0,6.0,2.0,2.0,53.0,116.0,32.0,182.0,51.0,100.0,240.0,191.0,358.0,63.0,5.0,44.0,0.0,0.0,106.0,119.0,107.0,47.0,46.0,96.0,316.0,36.0,98.0,108.0,22.0,178.0,48.0,86.0,61.0,25.0,175.0,92.0,85.0,127.0,137.0
5,34326.0,12571.0,12647.0,6435.0,4938.0,0.0,5242.0,2968.0,33.0,1160.0,1109.0,1144.0,237.0,1214.0,1167.0,38.0,318.0,16.0,482.0,114.0,281.0,236.0,929.0,593.0,328.0,435.0,338.0,66.0,267.0,46.0,260.0,215.0,108.0,153.0,281.0,116.0,295.0,12.0,244.0,101.0,207.0,152.0,0.0,481.0,886.0,223.0,32.0,49.0,153.0,517.0,113.0,326.0,61.0,160.0,69.0,174.0,719.0,151.0,89.0,64.0,162.0,55.0,93.0,129.0,58.0,69.0,32.0,154.0,84.0,85.0,45.0,70.0,89.0,2.0,41.0,17.0,199.0,40.0,113.0,12.0,75.0,83.0,59.0,135.0,221.0,43.0,78.0,31.0,42.0,11.0,25.0,54.0,85.0,2.0,7.0,0.0,27.0,15.0,47.0,13.0,193.0,12.0,49.0,44.0,85.0,128.0,35.0,71.0,114.0,31.0,159.0,18.0,1.0,2.0,0.0,58.0,118.0,21.0,139.0,14.0,16.0,36.0,72.0,5.0,35.0,2.0,44.0,0.0,0.0,26.0,128.0,22.0,27.0,77.0,41.0,2.0,12.0,63.0,9.0,36.0,31.0,34.0,20.0,105.0,135.0,96.0,27.0,61.0,55.0,73.0
6,9902.0,8779.0,10166.0,6559.0,4687.0,5242.0,0.0,2310.0,1019.0,780.0,626.0,672.0,190.0,883.0,351.0,8.0,470.0,12.0,735.0,93.0,202.0,828.0,289.0,1158.0,296.0,272.0,308.0,66.0,287.0,189.0,238.0,386.0,81.0,249.0,292.0,117.0,249.0,5.0,224.0,59.0,37.0,137.0,0.0,506.0,314.0,607.0,24.0,41.0,99.0,353.0,73.0,229.0,15.0,80.0,6.0,110.0,244.0,43.0,85.0,98.0,64.0,265.0,131.0,97.0,5.0,368.0,112.0,132.0,64.0,105.0,23.0,85.0,118.0,0.0,114.0,329.0,84.0,435.0,78.0,8.0,32.0,154.0,52.0,80.0,77.0,22.0,72.0,16.0,103.0,34.0,407.0,28.0,47.0,25.0,10.0,4.0,182.0,291.0,42.0,25.0,282.0,3.0,72.0,79.0,62.0,93.0,38.0,76.0,51.0,6.0,68.0,176.0,3.0,21.0,0.0,68.0,23.0,278.0,4.0,11.0,21.0,107.0,34.0,3.0,11.0,381.0,0.0,383.0,381.0,7.0,6.0,15.0,10.0,80.0,31.0,213.0,11.0,48.0,18.0,3.0,143.0,29.0,33.0,27.0,20.0,130.0,58.0,6.0,39.0,32.0
7,13072.0,5209.0,6846.0,6498.0,6815.0,2968.0,2310.0,0.0,449.0,50.0,524.0,736.0,434.0,691.0,548.0,50.0,771.0,7.0,359.0,124.0,86.0,304.0,419.0,475.0,469.0,206.0,156.0,55.0,274.0,366.0,274.0,227.0,70.0,128.0,174.0,154.0,64.0,5.0,222.0,281.0,92.0,231.0,0.0,121.0,116.0,149.0,26.0,23.0,275.0,90.0,121.0,115.0,113.0,222.0,10.0,120.0,94.0,23.0,141.0,101.0,322.0,70.0,104.0,159.0,134.0,70.0,28.0,14.0,87.0,78.0,26.0,136.0,439.0,0.0,80.0,45.0,217.0,54.0,91.0,21.0,55.0,229.0,19.0,358.0,107.0,36.0,32.0,288.0,80.0,3.0,9.0,56.0,73.0,176.0,10.0,15.0,20.0,22.0,46.0,15.0,78.0,9.0,60.0,80.0,49.0,69.0,17.0,49.0,89.0,299.0,53.0,12.0,4.0,1.0,0.0,24.0,21.0,24.0,95.0,15.0,34.0,43.0,61.0,3.0,12.0,3.0,2.0,0.0,0.0,21.0,31.0,24.0,36.0,29.0,20.0,2.0,19.0,62.0,18.0,6.0,43.0,21.0,13.0,18.0,14.0,65.0,39.0,91.0,132.0,34.0
8,4896.0,1347.0,1113.0,508.0,500.0,33.0,1019.0,449.0,0.0,338.0,203.0,116.0,102.0,174.0,173.0,5.0,39.0,4.0,72.0,11.0,356.0,36.0,28.0,54.0,52.0,102.0,96.0,22.0,55.0,7.0,21.0,49.0,4.0,178.0,48.0,18.0,61.0,5.0,29.0,3.0,105.0,25.0,0.0,22.0,109.0,41.0,0.0,4.0,17.0,37.0,13.0,46.0,33.0,34.0,3.0,4.0,154.0,85.0,76.0,20.0,6.0,19.0,65.0,48.0,2.0,9.0,157.0,23.0,7.0,22.0,8.0,14.0,6.0,0.0,6.0,11.0,28.0,4.0,21.0,0.0,9.0,34.0,34.0,4.0,7.0,3.0,23.0,8.0,54.0,0.0,7.0,2.0,6.0,0.0,4.0,0.0,112.0,3.0,13.0,2.0,20.0,2.0,14.0,25.0,28.0,13.0,12.0,5.0,8.0,5.0,20.0,0.0,1.0,0.0,1.0,8.0,1.0,12.0,1.0,2.0,2.0,7.0,17.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,22.0,7.0,27.0,0.0,1.0,3.0,4.0,4.0,4.0,10.0,5.0,3.0,18.0,18.0,4.0,7.0,0.0,3.0,8.0
9,5340.0,1388.0,2306.0,2309.0,1880.0,1160.0,780.0,50.0,338.0,0.0,503.0,372.0,197.0,197.0,152.0,36.0,203.0,13.0,227.0,54.0,61.0,114.0,198.0,33.0,179.0,21.0,78.0,61.0,231.0,232.0,156.0,66.0,53.0,48.0,70.0,61.0,0.0,12.0,64.0,56.0,36.0,42.0,0.0,138.0,44.0,72.0,22.0,42.0,67.0,57.0,53.0,131.0,54.0,96.0,8.0,17.0,36.0,31.0,112.0,43.0,75.0,38.0,73.0,76.0,8.0,50.0,25.0,2.0,29.0,17.0,17.0,76.0,26.0,1.0,28.0,32.0,58.0,20.0,21.0,9.0,55.0,48.0,6.0,6.0,19.0,19.0,43.0,16.0,5.0,8.0,4.0,47.0,35.0,105.0,6.0,105.0,9.0,8.0,8.0,16.0,21.0,7.0,56.0,26.0,6.0,32.0,19.0,32.0,3.0,8.0,4.0,8.0,0.0,4.0,1.0,68.0,12.0,14.0,114.0,9.0,15.0,22.0,20.0,3.0,8.0,0.0,1.0,0.0,0.0,7.0,118.0,23.0,81.0,9.0,37.0,3.0,13.0,20.0,23.0,9.0,19.0,1.0,18.0,3.0,3.0,15.0,11.0,7.0,6.0,16.0
