,tweets,sentiment,emotion,processed_tweets
0,Don’t Let Them Stand Alone. The #women + Girls of Iran. The #IranianRegime is using live rounds to kill them in the streets every day #IranianWomen #WomanLifeFreedom #IranRevoIution #IranRevoIution2022 #IranProtests2022 #WomensRightsAreHumanRights https://t.co/b0RJFyuLCq,"negative    0.872835
neutral     0.120743
positive    0.006422
dtype: float64","anger       0.881560
joy         0.007872
optimism    0.054842
sadness     0.055727
dtype: float64",Don’t Let Them Stand Alone. The #women + Girls of Iran. The #IranianRegime is using live rounds to kill them in the streets every day #IranianWomen #WomanLifeFreedom #IranRevoIution #IranRevoIution2022 #IranProtests2022 #WomensRightsAreHumanRights http
1,"🇮🇷Mina Yagoubi, 33, a citizen of Arak, arrested in early November, was released on bail.
The effects of the torture are evident on Mina's eyes and body.
#IranProtests2022
#Iran https://t.co/CcC0omjWEw","negative    0.713806
neutral     0.273410
positive    0.012784
dtype: float64","anger       0.160401
joy         0.021945
optimism    0.025595
sadness     0.792058
dtype: float64","🇮🇷Mina Yagoubi, 33, a citizen of Arak, arrested in early November, was released on bail.
The effects of the torture are evident on Mina's eyes and body.
#IranProtests2022
#Iran http"
2,Tweeting isn’t enough! Social Media isn’t enough! Support #WomanLifeFreedom #IranProtests2022 #IranRevoIution2022                               Check local protest center: https://t.co/e6E6ODMa7t https://t.co/IpUJlDBi9p,"negative    0.398528
neutral     0.482813
positive    0.118659
dtype: float64","anger       0.714236
joy         0.009623
optimism    0.221982
sadness     0.054159
dtype: float64",Tweeting isn’t enough! Social Media isn’t enough! Support #WomanLifeFreedom #IranProtests2022 #IranRevoIution2022                               Check local protest center: http http
3,"There are at least two problems with this ethnic-based narrative:
1- It plays into the hands of the Islamic Republic who claims that the protests are aimed at #Iran as a nation, not the government;
2- It ignores the unique national/nationwide feature of #IranProtests2022 movement","negative    0.829890
neutral     0.164414
positive    0.005697
dtype: float64","anger       0.890616
joy         0.004501
optimism    0.052734
sadness     0.052148
dtype: float64","There are at least two problems with this ethnic-based narrative:
1- It plays into the hands of the Islamic Republic who claims that the protests are aimed at #Iran as a nation, not the government;
2- It ignores the unique national/nationwide feature of #IranProtests2022 movement"
4,"#Iranprotests2022 : Dec 2 — Zahedan, SE — #Iran 
Massive crowd of locals are in the streets chanting anti-regime slogans. This is the 78th day of #IranRevolution.
#مهسا_امینی
#اعتراضات_سراسری https://t.co/W0VlBkDPda","negative    0.458482
neutral     0.473956
positive    0.067562
dtype: float64","anger       0.718373
joy         0.112985
optimism    0.139193
sadness     0.029449
dtype: float64","#Iranprotests2022 : Dec 2 — Zahedan, SE — #Iran 
Massive crowd of locals are in the streets chanting anti-regime slogans. This is the 78th day of #IranRevolution.

 http"
5,"#YasharTohidi , a political prisoner, was shot in both legs in the Evin prison fire. He is in critical condition but is being denied the necessary treatments. His life is in great danger.
#YasharTohidi #ياشارـتوحیدی #SayTheirNames #IranProtests2022 #IranProrests https://t.co/xxlvqWiHxm","negative    0.927484
neutral     0.069237
positive    0.003278
dtype: float64","anger       0.184036
joy         0.008386
optimism    0.031300
sadness     0.776277
dtype: float64","#YasharTohidi , a political prisoner, was shot in both legs in the Evin prison fire. He is in critical condition but is being denied the necessary treatments. His life is in great danger.
#YasharTohidi  #SayTheirNames #IranProtests2022 #IranProrests http"
6,"#Iranprotests2022
#IranRevoIution: 22-year-old Negin Radfar was shot in the heart by the security forces during the protests in #Sanandaj.
I send greetings to Negin Radfar and all the martyrs of the Iranian uprising, who sacrificed their lives for the freedom of #Iran
#مهسا_امینی https://t.co/DNuJwCXgWu","negative    0.552572
neutral     0.401029
positive    0.046399
dtype: float64","anger       0.312359
joy         0.074871
optimism    0.219828
sadness     0.392942
dtype: float64","#Iranprotests2022
#IranRevoIution: 22-year-old Negin Radfar was shot in the heart by the security forces during the protests in #Sanandaj.
I send greetings to Negin Radfar and all the martyrs of the Iranian uprising, who sacrificed their lives for the freedom of #Iran
 http"
7,"@melaniejoly Thank you, if you want to make a real impact now is the time to list the IRGC as a terrorist organization. #MahsaAmini #ArmitaAbbasi #IranProtests2022","negative    0.185354
neutral     0.614289
positive    0.200358
dtype: float64","anger       0.613989
joy         0.021918
optimism    0.338621
sadness     0.025473
dtype: float64","@user Thank you, if you want to make a real impact now is the time to list the IRGC as a terrorist organization. #MahsaAmini #ArmitaAbbasi #IranProtests2022"
8,"Workload sure is heavy at the regime-controlled news agency in #Iran! 

➡️Read more https://t.co/x3EPNJJ0Ln

#IranRevolution2022 #Iranians #IranProtests2022","negative    0.574781
neutral     0.387337
positive    0.037882
dtype: float64","anger       0.810209
joy         0.032480
optimism    0.068270
sadness     0.089041
dtype: float64","Workload sure is heavy at the regime-controlled news agency in #Iran! 

➡️Read more http

#IranRevolution2022 #Iranians #IranProtests2022"
9,"More than 10 children have been already killed by the government in the past weeks.
Two innocent kids in danger of execution by the Islamic government of Iran 
#MahsaAmini 
#IranProtests2022 
#Iran https://t.co/iTqzc0yfJj","negative    0.950485
neutral     0.047427
positive    0.002088
dtype: float64","anger       0.569274
joy         0.012548
optimism    0.036755
sadness     0.381424
dtype: float64","More than 10 children have been already killed by the government in the past weeks.
Two innocent kids in danger of execution by the Islamic government of Iran 
#MahsaAmini 
#IranProtests2022 
#Iran http"
